datetime	Unnamed: 0	Unnamed: 0.1	city	country	nb_detected
21-03-2020_04-30-26_PM	197.0	0.0	Overtornea 	Sweden	0
21-03-2020_04-33-06_PM	198.0	0.0	Stockholm	Sweden	17
21-03-2020_04-33-11_PM	199.0	0.0	Stockholm	Sweden	0
21-03-2020_04-33-13_PM	200.0	0.0	Stockholm	Sweden	0
21-03-2020_04-33-16_PM	201.0	0.0	Stockholm	Sweden	0
21-03-2020_04-33-21_PM	202.0	0.0	Goteborg	Sweden	1
21-03-2020_04-33-25_PM	203.0	0.0	Goteborg	Sweden	0
21-03-2020_04-33-29_PM	204.0	0.0	Goteborg	Sweden	0
21-03-2020_04-33-33_PM	205.0	0.0	Goteborg	Sweden	8
21-03-2020_04-33-36_PM	206.0	0.0	Goteborg	Sweden	0
21-03-2020_04-33-39_PM	207.0	0.0	Goteborg	Sweden	6
21-03-2020_04-33-42_PM	208.0	0.0	Goteborg	Sweden	6
21-03-2020_04-33-45_PM	209.0	0.0	Goteborg	Sweden	0
21-03-2020_04-33-47_PM	210.0	0.0	Goteborg	Sweden	3
21-03-2020_04-33-50_PM	211.0	0.0	Goteborg	Sweden	0
21-03-2020_04-33-54_PM	212.0	0.0	Goteborg	Sweden	0
21-03-2020_04-33-57_PM	213.0	0.0	Goteborg	Sweden	2
21-03-2020_04-34-00_PM	214.0	0.0	Goteborg	Sweden	0
21-03-2020_04-34-03_PM	215.0	0.0	Goteborg	Sweden	0
21-03-2020_04-34-06_PM	216.0	0.0	Goteborg	Sweden	0
21-03-2020_04-34-08_PM	217.0	0.0	Goteborg	Sweden	0
21-03-2020_04-34-11_PM	218.0	0.0	Goteborg	Sweden	0
21-03-2020_04-34-14_PM	219.0	0.0	Overtornea 	Sweden	0
21-03-2020_04-36-09_PM	220.0	0.0	Stockholm	Sweden	12
21-03-2020_04-36-20_PM	221.0	0.0	Stockholm	Sweden	0
21-03-2020_04-36-25_PM	222.0	0.0	Stockholm	Sweden	0
21-03-2020_04-36-28_PM	223.0	0.0	Stockholm	Sweden	0
21-03-2020_04-36-31_PM	224.0	0.0	Goteborg	Sweden	1
21-03-2020_04-36-34_PM	225.0	0.0	Goteborg	Sweden	4
21-03-2020_04-36-37_PM	226.0	0.0	Goteborg	Sweden	0
21-03-2020_04-36-39_PM	227.0	0.0	Goteborg	Sweden	5
21-03-2020_04-36-42_PM	228.0	0.0	Goteborg	Sweden	0
21-03-2020_04-36-45_PM	229.0	0.0	Goteborg	Sweden	3
21-03-2020_04-36-48_PM	230.0	0.0	Goteborg	Sweden	6
21-03-2020_04-36-51_PM	231.0	0.0	Goteborg	Sweden	0
21-03-2020_04-36-53_PM	232.0	0.0	Goteborg	Sweden	4
21-03-2020_04-36-56_PM	233.0	0.0	Goteborg	Sweden	3
21-03-2020_04-37-00_PM	234.0	0.0	Goteborg	Sweden	0
21-03-2020_04-37-03_PM	235.0	0.0	Goteborg	Sweden	2
21-03-2020_04-37-06_PM	236.0	0.0	Goteborg	Sweden	2
21-03-2020_04-37-09_PM	237.0	0.0	Goteborg	Sweden	0
21-03-2020_04-37-12_PM	238.0	0.0	Goteborg	Sweden	0
21-03-2020_04-37-15_PM	239.0	0.0	Goteborg	Sweden	0
21-03-2020_04-37-19_PM	240.0	0.0	Goteborg	Sweden	0
21-03-2020_04-37-23_PM	241.0	0.0	Overtornea 	Sweden	0
21-03-2020_04-39-07_PM	242.0	0.0	Stockholm	Sweden	4
21-03-2020_04-39-12_PM	243.0	0.0	Stockholm	Sweden	0
21-03-2020_04-39-15_PM	244.0	0.0	Stockholm	Sweden	0
21-03-2020_04-39-18_PM	245.0	0.0	Stockholm	Sweden	0
21-03-2020_04-39-21_PM	246.0	0.0	Goteborg	Sweden	2
21-03-2020_04-39-24_PM	247.0	0.0	Goteborg	Sweden	1
21-03-2020_04-39-27_PM	248.0	0.0	Goteborg	Sweden	0
21-03-2020_04-39-30_PM	249.0	0.0	Goteborg	Sweden	4
21-03-2020_04-39-33_PM	250.0	0.0	Goteborg	Sweden	0
21-03-2020_04-39-36_PM	251.0	0.0	Goteborg	Sweden	3
21-03-2020_04-39-40_PM	252.0	0.0	Goteborg	Sweden	2
21-03-2020_04-39-44_PM	253.0	0.0	Goteborg	Sweden	2
